Year,Month,Day,Validity,Cause,Eq Magnitude,Country,Location,Latitude,Longitude,Max Water Height (m),Tsm Magnitude (Iida),Tsunami,ECountry,ELocation
1810.0,9.0,25.0,4.0,1.0,6.6,JAPAN,NW. HONSHU ISLAND,39.9,139.9,1.0,1.0,1,41,307
1810.0,1.0,1.0,4.0,8.0,7.2,NORWAY,NORTHERN NORWAY,69.433,20.15,0.92,0.6,1,55,301
1812.0,12.0,21.0,4.0,3.0,7.5,USA,S. CALIFORNIA,34.2,-119.9,3.4,1.8,1,78,376
1815.0,4.0,10.0,4.0,6.0,7.2,INDONESIA,TAMBORA,-8.2,118.0,4.0,2.0,1,36,454
1815.0,11.0,22.0,3.0,3.0,7.0,INDONESIA,BALI SEA,-8.0,115.0,0.92,1.0,0,36,30
1816.0,11.0,14.0,3.0,1.0,7.2,MEXICO,CENTRAL MEXICO,,,25.0,0.6,0,46,66
1817.0,8.0,23.0,3.0,1.0,6.8,GREECE,CORINTHOS-PATRAS GULF,38.3,22.1,5.0,0.6,0,27,82
1818.0,2.0,20.0,4.0,1.0,6.0,ITALY,EASTERN SICILY,37.6,15.133,0.92,0.6,1,39,115
1818.0,3.0,18.0,3.0,3.0,7.0,INDONESIA,"BENGKULU, SUMATRA",-4.0,101.5,0.92,0.6,0,36,38
1818.0,5.0,31.0,3.0,1.0,8.2,MEXICO,CENTRAL MEXICO,19.1,-103.94,13.9,0.6,0,46,66
1819.0,4.0,12.0,4.0,1.0,8.5,CHILE,NORTHERN CHILE,-27.0,-71.5,4.0,2.0,1,10,299
1819.0,6.0,16.0,3.0,1.0,7.7,INDIA,KUTCH,23.0,71.0,0.92,0.6,0,35,207
1819.0,8.0,31.0,3.0,1.0,5.8,NORWAY,NORWAY:  RANA REGION: LUROY,66.416,12.85,0.92,0.6,0,55,303
1820.0,5.0,4.0,4.0,1.0,7.6,MEXICO,S. MEXICO,17.2,-99.6,4.0,1.0,1,46,379
1820.0,12.0,29.0,4.0,1.0,7.5,INDONESIA,FLORES SEA,-7.0,119.0,25.0,4.0,1,36,129
1820.0,1.0,1.0,3.0,8.0,7.2,USA,"CAMANO ISLAND, WA",48.06,-122.36,0.92,0.6,0,78,53
1822.0,5.0,7.0,3.0,1.0,7.6,COSTA RICA,MATINA,9.5,-83.0,0.92,0.6,0,13,249
1822.0,11.0,20.0,4.0,1.0,8.5,CHILE,CENTRAL CHILE,-33.0,-72.0,3.6,1.8,1,10,64
1823.0,11.0,30.0,4.0,1.0,7.2,MARTINIQUE (FRENCH TERRITORY),SAINT PIERRE,14.4,-61.0,0.92,0.6,1,45,383
1826.0,1.0,1.0,3.0,1.0,7.2,JAPAN,CHICHI JIMA,27.07,142.21,0.92,0.6,0,41,72
1826.0,1.0,1.0,3.0,1.0,7.2,NEW ZEALAND,DUSKY SOUND,-45.78,166.48,0.92,0.6,0,53,98
1827.0,8.0,9.0,3.0,4.0,7.2,RUSSIA,KAMCHATKA,53.0,158.5,0.92,0.6,0,62,184
1828.0,5.0,26.0,4.0,1.0,6.4,JAPAN,AMAKUSA SEA,32.6,129.9,0.92,0.6,1,41,10
1831.0,1.0,1.0,3.0,1.0,7.2,NEW ZEALAND,"POVERTY BAY, NORTH ISLAND",-38.7,178.0,0.92,0.6,0,53,354
1833.0,3.0,10.0,3.0,1.0,7.2,MEXICO,S. MEXICO,16.8,-99.9,0.92,1.0,0,46,379
1833.0,11.0,24.0,4.0,1.0,8.3,INDONESIA,SW. SUMATRA,-2.5,100.5,0.92,0.6,1,36,446
1833.0,12.0,7.0,4.0,1.0,7.4,JAPAN,NW. HONSHU ISLAND,38.9,139.15,9.0,2.5,1,41,307
